Date,Beaver,Berks,Centre,Chester,Cumberland,Erie,Fayette,Lehigh,Montgomery,Schuylkill,York
8/1/2020,7,16,-3,0,16,31,16,18,52,5,17
8/2/2020,13,22,3,0,6,13,5,21,22,7,39
8/3/2020,5,28,1,80,5,16,6,4,35,4,25
8/4/2020,24,30,1,49,9,42,9,18,38,4,15
8/5/2020,8,19,2,26,20,12,8,16,44,5,35
8/6/2020,11,35,3,35,11,9,34,14,31,2,44
8/7/2020,14,19,4,27,6,12,7,17,32,1,41
8/8/2020,18,32,2,0,6,36,13,16,62,1,16
8/9/2020,4,29,2,0,4,8,9,34,44,7,71
8/10/2020,10,25,0,55,14,8,7,7,28,3,19
8/11/2020,6,24,1,37,11,16,61,17,38,3,46
8/12/2020,19,39,4,40,16,17,20,30,32,6,43
8/13/2020,23,21,3,30,12,20,13,14,45,2,71
8/14/2020,8,38,6,29,14,19,14,11,43,8,50
8/15/2020,19,34,5,0,9,18,4,12,54,4,53
8/16/2020,6,26,1,0,7,11,11,11,44,5,30
8/17/2020,3,12,1,54,4,6,4,3,28,3,23
8/18/2020,13,44,6,15,7,12,3,12,46,2,22
8/19/2020,14,38,7,55,14,16,8,8,44,5,37
8/20/2020,10,22,1,10,16,19,5,10,45,5,45
8/21/2020,38,38,3,12,14,7,9,9,39,1,27
8/22/2020,11,38,5,0,13,12,3,7,60,7,48
8/23/2020,5,33,2,0,8,13,2,9,46,1,33
8/24/2020,3,33,6,66,13,1,3,4,42,0,17
8/25/2020,11,42,4,22,11,8,2,3,29,4,22
8/26/2020,11,27,2,15,3,8,2,4,34,1,31
8/27/2020,6,26,4,19,15,8,9,13,53,4,43
8/28/2020,41,38,9,43,9,14,7,13,41,3,37
8/29/2020,24,32,20,0,20,10,2,19,35,5,32
8/30/2020,6,29,7,0,7,3,6,12,49,-3,27
8/31/2020,8,15,17,74,10,1,3,8,39,2,40
9/1/2020,7,39,5,41,13,9,2,8,58,5,74
9/2/2020,12,34,47,29,7,11,5,11,33,4,48
9/3/2020,23,45,40,0,10,1,4,21,63,-1,128
9/4/2020,41,40,37,73,15,6,2,5,48,2,49
9/5/2020,8,47,37,0,18,11,3,23,63,10,72
9/6/2020,4,22,9,0,6,3,3,21,46,2,34
9/7/2020,4,29,13,0,6,3,4,15,46,6,34
9/8/2020,4,32,12,209,11,2,-1,-1,42,4,25
9/9/2020,8,50,184,59,15,13,8,22,41,4,57
9/10/2020,9,18,55,60,4,-1,6,0,35,0,40
9/11/2020,26,30,137,38,11,4,5,19,27,3,66
9/12/2020,10,79,73,0,12,10,7,18,41,3,129
9/13/2020,5,23,40,30,12,1,3,16,19,4,43
9/14/2020,11,43,62,77,12,1,4,11,60,6,49
9/15/2020,13,54,212,63,11,12,3,16,53,5,42
9/16/2020,8,59,59,44,5,4,5,19,28,2,75
9/17/2020,10,41,92,61,15,7,4,23,62,5,28
9/18/2020,6,32,30,48,23,13,4,13,55,3,30
9/19/2020,14,28,97,0,13,7,3,5,42,4,62
9/20/2020,2,32,72,0,8,9,4,15,35,3,37
9/21/2020,2,29,37,123,4,8,3,10,30,4,30
9/22/2020,1,41,195,27,11,8,2,11,30,3,34
9/23/2020,6,36,47,41,8,13,3,25,36,8,52
9/24/2020,11,24,124,40,18,10,5,21,31,18,44
9/25/2020,16,16,29,36,13,12,5,17,25,7,102
9/26/2020,6,43,162,0,29,11,6,29,60,21,32
9/27/2020,8,47,88,0,16,7,5,26,36,21,44
9/28/2020,15,22,70,0,18,8,4,14,29,17,23
9/29/2020,4,50,116,143,13,11,6,32,49,15,40
9/30/2020,19,45,43,38,18,4,3,19,27,13,50
10/1/2020,16,29,45,44,10,12,3,16,40,16,30
10/2/2020,13,43,99,38,27,24,7,27,72,20,37
10/3/2020,0,0,0,0,0,0,0,0,0,0,0
10/4/2020,18,93,170,0,25,40,6,39,102,34,99
10/5/2020,2,27,20,95,8,13,3,11,18,19,18
10/6/2020,20,42,127,20,13,17,14,24,26,20,46
10/7/2020,2,69,26,47,13,21,4,45,48,11,68
10/8/2020,12,75,94,41,17,13,1,25,54,12,61
10/9/2020,15,87,31,42,28,23,5,26,58,22,33
10/10/2020,6,75,81,0,21,29,4,40,71,37,82
10/11/2020,11,55,22,0,11,19,7,35,36,19,30
10/12/2020,10,38,90,117,23,7,3,5,31,18,42
10/13/2020,22,82,30,54,15,24,14,18,56,20,66
10/14/2020,13,60,19,35,39,17,3,24,48,21,62
10/15/2020,18,74,50,43,16,9,13,30,54,38,34
10/16/2020,15,67,36,41,21,9,12,25,51,16,59
10/17/2020,17,110,37,0,21,13,6,31,64,34,76
10/18/2020,14,81,12,0,19,9,10,20,31,48,67
10/19/2020,4,84,20,81,19,13,3,20,31,39,45
10/20/2020,10,81,25,45,95,20,6,17,52,24,75
10/21/2020,2,75,34,29,12,13,9,35,42,26,42
10/22/2020,43,99,71,45,24,14,12,61,76,50,52
10/23/2020,7,66,59,58,6,36,17,56,82,37,72
10/24/2020,22,117,81,0,-34,19,14,58,95,78,66
10/25/2020,5,109,47,0,19,13,5,35,71,35,40
10/26/2020,5,100,34,153,20,19,9,85,101,43,72
10/27/2020,9,131,27,53,42,41,4,45,96,50,90
10/28/2020,15,135,41,54,29,33,13,52,94,40,79
10/29/2020,13,98,46,70,33,41,16,50,123,57,61
10/30/2020,19,93,42,35,26,53,16,55,149,38,85
10/31/2020,23,81,46,0,28,42,10,113,144,42,86
11/1/2020,18,86,20,0,12,38,13,52,120,36,26
11/2/2020,22,87,25,163,25,41,9,81,77,42,56
11/3/2020,15,125,39,0,36,50,14,83,131,37,83
11/4/2020,35,112,10,145,37,33,27,60,137,40,66
11/5/2020,23,86,55,75,29,49,20,93,135,29,79
11/6/2020,13,107,79,88,52,59,10,110,217,30,46
11/7/2020,37,113,105,0,62,49,14,149,193,55,146
11/8/2020,15,77,15,0,60,54,19,105,156,31,83
11/9/2020,6,92,59,259,68,79,7,113,193,54,87
11/10/2020,41,148,34,112,78,72,20,118,197,83,89
11/11/2020,87,172,55,0,106,99,33,190,258,54,131
11/12/2020,59,132,89,239,67,124,16,202,340,54,126
11/13/2020,58,137,131,148,113,108,29,165,318,65,135
11/14/2020,28,155,56,0,85,149,29,134,278,65,97
11/15/2020,62,168,78,0,95,135,31,171,395,71,108
11/16/2020,21,159,56,446,55,101,42,88,185,57,142
11/17/2020,51,191,62,126,113,167,34,106,261,96,238
11/18/2020,96,179,89,142,174,134,74,139,263,70,178
11/19/2020,90,194,82,210,112,135,45,213,361,54,193
11/20/2020,52,133,91,154,84,197,49,270,345,65,150
11/21/2020,89,164,80,0,116,172,47,241,352,91,128
11/22/2020,65,158,136,0,201,114,33,218,344,79,559
11/23/2020,58,203,47,483,50,106,41,147,294,64,93
11/24/2020,75,169,110,132,112,106,79,163,259,77,223
11/25/2020,120,139,93,143,89,115,72,181,267,158,183
11/26/2020,98,299,77,0,137,242,82,263,389,85,267
11/27/2020,126,172,97,448,109,150,64,315,305,106,176
11/28/2020,101,175,154,0,147,146,87,298,350,114,202
11/29/2020,105,180,61,0,111,113,80,133,308,77,195
11/30/2020,33,82,30,399,83,106,50,100,296,35,201
12/1/2020,103,109,11,153,68,154,68,67,203,42,136
12/2/2020,91,282,75,0,181,178,77,289,390,85,373
12/3/2020,204,463,65,578,304,255,88,202,689,92,677
12/4/2020,132,326,119,407,248,222,103,484,609,142,389
12/5/2020,289,378,96,0,255,235,229,376,579,154,796
